DOW,2001-10-15,34.450001,34.689999,34.09,34.32,1518800,19.978076
MMM,2001-10-15,103.690002,106.00,103.620003,105.809998,2792800,36.837806
MRK,2001-10-15,68.800003,70.00,68.800003,69.949997,4071300,37.500587
MSFT,2001-10-15,55.900002,58.50,55.849998,58.060001,68437000,19.844597
PFE,2001-10-15,40.900002,41.810001,40.869999,41.369999,11216200,24.267696
TRV,2001-10-15,50.810001,51.049999,50.099998,50.950001,1594500,34.622307
UNH,2001-10-15,66.089996,68.379997,66.089996,68.220001,5676400,15.335214
UTX,2001-10-15,52.50,53.049999,51.860001,53.02,5254600,19.465161
VZ,2001-10-15,51.900102,52.450104,51.800103,52.210102,4895000,23.181059
DIS,2001-10-15,19.07,19.380002,18.900001,19.150001,5497100,15.471625
LUV,2001-10-15,15.45,15.63,15.12,15.33,2026600,14.588025
ATVI,2001-10-15,32.200001,33.289999,31.520001,33.009999,12638800,2.529625
AAPL,2001-10-15,17.95,18.38,17.95,17.99,79688000,1.170441
CSCO,2001-10-15,16.65,16.65,16.00,16.209999,63245200,13.871627
MSFT,2001-10-15,55.900002,58.50,55.849998,58.060001,68437000,19.844597
IBM,2001-10-15,99.849998,102.760002,99.849998,102.00,10204200,79.140305
ORCL,2001-10-15,14.47,14.74,14.21,14.44,49779400,13.260057
AMZN,2001-10-15,8.24,9.20,8.23,8.88,8601800,8.88
LMT,2001-10-15,45.450001,47.50,45.419998,47.299999,2908800,32.111851
NOC,2001-10-15,104.49982,107.299815,104.49982,106.529818,2714700,33.929945
GD,2001-10-15,88.400002,90.269997,88.400002,89.949997,3151600,33.134818
HON,2001-10-15,29.219999,29.40,27.75,28.299999,2789400,19.724132
MGM,2001-10-15,23.870001,24.17,23.25,24.00,1631200,12.00
MAR,2001-10-15,33.250048,33.510053,32.760051,33.360043,2147600,13.43883
CCL,2001-10-15,23.280001,23.290001,22.59,22.690001,1580600,16.066237
RCL,2001-10-15,9.75,9.75,9.35,9.59,1735200,7.696254
CUK,2001-10-15,13.32,14.00,13.32,13.80,21400,10.182798
MCD,2001-10-15,29.74,29.969999,29.370001,29.51,4995600,19.671046
SBUX,2001-10-15,15.89,16.450001,15.67,16.43,12568800,3.737535
YUM,2001-10-15,44.850003,45.00,44.050002,45.00,4934200,6.424552
DRI,2001-10-15,30.019996,30.340004,29.849999,30.100004,1190200,14.146106
PNRA,2001-10-15,38.299999,38.439999,37.189999,38.25,305600,19.125
TJX,2001-10-15,34.509998,35.00,34.00,34.970001,3317600,7.4215
ROST,2001-10-15,29.99,31.00,29.49,30.74,13772000,3.34722
HD,2001-10-15,40.75,41.23,40.00,40.959999,6194600,29.972883
LOW,2001-10-15,34.200001,34.599998,33.790001,34.50,8258800,14.362164
BBY,2001-10-15,53.00,53.220001,51.63,53.199998,4438500,18.059829
WMT,2001-10-15,52.619999,53.48,52.41,53.48,6259700,40.441079
COST,2001-10-15,37.990002,38.50,37.59,38.09,2791800,29.898844
MO,2001-10-15,50.400002,51.040001,50.400002,50.48,3631700,5.335632
RAI,2001-10-15,60.439999,61.150002,60.310001,60.560001,2371200,3.203309
KO,2001-10-15,44.200001,44.799999,44.049999,44.50,9715400,14.831261
TAP,2001-10-15,44.650002,44.900002,44.299999,44.759998,544000,16.558361
PEP,2001-10-15,47.34,48.00,47.32,47.900002,4468500,33.397828
MNST,2001-10-15,3.40992,3.50,3.40992,3.50,16000,0.21875
PG,2001-10-15,71.50,71.50,70.620003,71.110001,5941200,23.657944
CL,2001-10-15,57.450001,57.650002,56.75,57.099998,1960600,20.586655
KMB,2001-10-15,60.249999,60.74,59.700004,60.059995,717200,34.803752
CLX,2001-10-15,35.709999,35.779999,35.00,35.130001,1077300,23.28731
GIS,2001-10-15,42.75,43.07,42.50,42.950001,2832000,14.22088
K,2001-10-15,28.799999,29.60,28.799999,29.33,807100,19.17865
HSY,2001-10-15,61.150002,62.220001,60.810001,60.900002,1279400,21.534108
TGNA,2001-10-15,62.349998,65.080002,62.130001,65.00,1512000,42.417508
OMC,2001-10-15,73.300003,74.00,72.199997,73.849998,2345000,28.249065
F,2001-10-15,17.73,17.870001,17.50,17.73,3476700,12.329842
HOG,2001-10-15,47.00,48.939999,46.799999,48.84,1686900,38.193381
SWHC,2001-10-15,0.72,0.80,0.72,0.79,25800,0.79
RGR,2001-10-15,12.03,13.29,11.85,13.29,248700,8.541606
TASR,2001-10-15,10.26,10.43004,9.75,10.23996,597600,0.85333
JPM,2001-10-15,32.099998,33.849998,31.85,33.549999,8377100,21.427681
WFC,2001-10-15,40.950001,41.299999,40.50,40.77,12088200,13.402164
BAC,2001-10-15,53.900002,55.599998,52.50,55.549999,22450200,18.868574
C,2001-10-15,44.950001,45.300001,44.010001,44.800001,1224000,316.600469
USB,2001-10-15,16.780001,17.049999,16.50,16.84,9743200,10.503166
GS,2001-10-15,82.550003,85.089996,81.519997,84.400002,3382300,71.702545
MS,2001-10-15,50.549999,52.799999,50.00,52.52,4475900,34.003278
AMTD,2001-10-15,4.52,5.39,4.40,5.36,1080900,3.554732
MMC,2001-10-15,102.50,103.599998,100.599998,103.199997,1748400,34.644713
AON,2001-10-15,42.349998,42.549999,41.91,42.200001,684600,32.817945
MET,2001-10-15,26.85,27.10,26.75,26.809999,1189800,20.178061
AFL,2001-10-15,26.73,26.950001,26.49,26.75,1056400,20.056894
CB,2001-10-15,36.84,37.650002,36.599998,37.080002,1416700,27.697521
ALL,2001-10-15,33.200001,34.139999,33.150002,33.709999,2695200,22.965844
PGR,2001-10-15,136.900005,142.200005,136.50,142.099995,6376800,8.069012
AIG,2001-10-15,83.200001,84.959999,82.800001,84.870002,227800,1266.837615
NEM,2001-10-15,22.030001,22.50,21.639999,21.66,1482900,18.273653
NUE,2001-10-15,38.950001,39.450001,38.599998,38.900002,1932000,6.306928
AVY,2001-10-15,50.139999,50.150002,49.450001,50.00,236700,32.659289
IP,2001-10-15,37.500004,37.740008,37.220007,37.700004,1864100,23.392919
NKE,2001-10-15,48.080002,48.099998,46.849998,47.650002,9600000,5.041455
T,2001-10-15,44.099998,44.299999,43.450001,43.869999,5536600,20.330189
ED,2001-10-15,40.299999,41.099998,40.130001,40.450001,313200,19.718317
FE,2001-10-15,34.50,35.240002,34.400002,34.950001,1044300,17.748781
GE,2001-10-15,38.549999,39.080002,38.060001,38.860001,12873500,23.770901
UNP,2001-10-15,47.00,48.209999,46.900002,48.02,1926400,9.129597
UPS,2001-10-15,50.549999,50.950001,50.279999,50.880001,575100,35.340872
